;[Bacteroides]_pectinophilus_ATCC_43243;-  Human, Homo sapiens Host-associated 
;Acinetobacter_baumannii_26016_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_263903-1;  Human, Homo sapiens  
;Acinetobacter_baumannii_263903-2;  Human, Homo sapiens  
;Acinetobacter_baumannii_268680;  Human, Homo sapiens  
;Acinetobacter_baumannii_269;  Human, Homo sapiens  
;Acinetobacter_baumannii_272263;  Human, Homo sapiens  
;Acinetobacter_baumannii_273929;  Human, Homo sapiens  
;Acinetobacter_baumannii_277047;  Human, Homo sapiens  
;Acinetobacter_baumannii_278;  Human, Homo sapiens  
;Acinetobacter_baumannii_2887;  Human, Homo sapiens  
;Acinetobacter_baumannii_292;  Human, Homo sapiens  
;Acinetobacter_baumannii_29280;  Human, Homo sapiens  
;Acinetobacter_baumannii_299505;  Human, Homo sapiens  
;Acinetobacter_baumannii_303002;  Human, Homo sapiens  
;Acinetobacter_baumannii_318814;  Human, Homo sapiens  
;Acinetobacter_baumannii_323408;  Human, Homo sapiens  
;Acinetobacter_baumannii_3390;  Human, Homo sapiens  
;Acinetobacter_baumannii_339786;  Human, Homo sapiens  
;Acinetobacter_baumannii_34001;  Human, Homo sapiens  
;Acinetobacter_baumannii_341;    
;Acinetobacter_baumannii_342950;  Human, Homo sapiens  
;Acinetobacter_baumannii_34654;  Human, Homo sapiens  
;Acinetobacter_baumannii_348935;  Human, Homo sapiens  
;Acinetobacter_baumannii_3909;  Human, Homo sapiens  
;Acinetobacter_baumannii_3909;    
;Acinetobacter_baumannii_397971;  Human, Homo sapiens  
;Acinetobacter_baumannii_3990;  Human, Homo sapiens  
;Acinetobacter_baumannii_3990;    
;Acinetobacter_baumannii_3990;    
;Acinetobacter_baumannii_400834;  Human, Homo sapiens  
;Acinetobacter_baumannii_4190;    
;Acinetobacter_baumannii_4190;  Human, Homo sapiens  
;Acinetobacter_baumannii_4190;    
;Acinetobacter_baumannii_42057_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_42057_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_42057_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_42057_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_42057_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_426863;  Human, Homo sapiens  
;Acinetobacter_baumannii_42887;  Human, Homo sapiens  
;Acinetobacter_baumannii_43557_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_43926;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44298_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_44327_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44362_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_44437_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_44437_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_44437_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_44437_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_44437_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44437_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44467_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_44839_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_44839_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44839_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_44857_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_44857_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_44895_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_45002_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_45052_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_45052_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_45052_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_45052_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_45052_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_45057_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_45057_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_45075_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_457946;  Human, Homo sapiens  
;Acinetobacter_baumannii_458282;  Human, Homo sapiens  
;Acinetobacter_baumannii_466215;  Human, Homo sapiens  
;Acinetobacter_baumannii_466760;  Human, Homo sapiens  
;Acinetobacter_baumannii_470922;  Human, Homo sapiens  
;Acinetobacter_baumannii_472237-1196;  Human, Homo sapiens  
;Acinetobacter_baumannii_472237-120;  Human, Homo sapiens  
;Acinetobacter_baumannii_4749;  Human, Homo sapiens  
;Acinetobacter_baumannii_478810;  Human, Homo sapiens  
;Acinetobacter_baumannii_479375;  Human, Homo sapiens  
;Acinetobacter_baumannii_480175;  Human, Homo sapiens  
;Acinetobacter_baumannii_48055;  Human, Homo sapiens  
;Acinetobacter_baumannii_496487;  Human, Homo sapiens  
;Acinetobacter_baumannii_50595;  Human, Homo sapiens  
;Acinetobacter_baumannii_532279;  Human, Homo sapiens  
;Acinetobacter_baumannii_532413;  Human, Homo sapiens  
;Acinetobacter_baumannii_53264;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_541915;  Human, Homo sapiens  
;Acinetobacter_baumannii_554515;  Human, Homo sapiens  
;Acinetobacter_baumannii_562700;  Human, Homo sapiens  
;Acinetobacter_baumannii_564012;  Human, Homo sapiens  
;Acinetobacter_baumannii_573719;  Human, Homo sapiens  
;Acinetobacter_baumannii_58452;  Human, Homo sapiens  
;Acinetobacter_baumannii_6013113;-  Human, Homo sapiens Host-associated 
;Acinetobacter_baumannii_6013150;-  Human, Homo sapiens Host-associated 
;Acinetobacter_baumannii_6014059;-  Human, Homo sapiens Host-associated 
;Acinetobacter_baumannii_607805;  Human, Homo sapiens  
;Acinetobacter_baumannii_6112;  Human, Homo sapiens  
;Acinetobacter_baumannii_6200;  Human, Homo sapiens  
;Acinetobacter_baumannii_625974;  Human, Homo sapiens  
;Acinetobacter_baumannii_628418;  Human, Homo sapiens  
;Acinetobacter_baumannii_647609;  Human, Homo sapiens  
;Acinetobacter_baumannii_653020;  Human, Homo sapiens  
;Acinetobacter_baumannii_655378;  Human, Homo sapiens  
;Acinetobacter_baumannii_655555;  Human, Homo sapiens  
;Acinetobacter_baumannii_662545-1347;  Human, Homo sapiens  
;Acinetobacter_baumannii_6870155;  Human, Homo sapiens  
;Acinetobacter_baumannii_6935;  Human, Homo sapiens  
;Acinetobacter_baumannii_694762;  Human, Homo sapiens  
;Acinetobacter_baumannii_70136;  Human, Homo sapiens  
;Acinetobacter_baumannii_722310;  Human, Homo sapiens  
;Acinetobacter_baumannii_723929;  Human, Homo sapiens  
;Acinetobacter_baumannii_72431;  Human, Homo sapiens  
;Acinetobacter_baumannii_724909;  Human, Homo sapiens  
;Acinetobacter_baumannii_730795;  Human, Homo sapiens  
;Acinetobacter_baumannii_73736;  Human, Homo sapiens  
;Acinetobacter_baumannii_737393;  Human, Homo sapiens  
;Acinetobacter_baumannii_742879;  Human, Homo sapiens  
;Acinetobacter_baumannii_754286;  Human, Homo sapiens  
;Acinetobacter_baumannii_755829;  Human, Homo sapiens  
;Acinetobacter_baumannii_756476;  Human, Homo sapiens  
;Acinetobacter_baumannii_766875;  Human, Homo sapiens  
;Acinetobacter_baumannii_781407;  Human, Homo sapiens  
;Acinetobacter_baumannii_7893;  Human, Homo sapiens  
;Acinetobacter_baumannii_796380-1375;  Human, Homo sapiens  
;Acinetobacter_baumannii_796380-2102;  Human, Homo sapiens  
;Acinetobacter_baumannii_809848;  Human, Homo sapiens  
;Acinetobacter_baumannii_825610;  Human, Homo sapiens  
;Acinetobacter_baumannii_826659;  Human, Homo sapiens  
;Acinetobacter_baumannii_831240;  Human, Homo sapiens  
;Acinetobacter_baumannii_83444;  Human, Homo sapiens  
;Acinetobacter_baumannii_836190;  Human, Homo sapiens  
;Acinetobacter_baumannii_846928;  Human, Homo sapiens  
;Acinetobacter_baumannii_855125;  Human, Homo sapiens  
;Acinetobacter_baumannii_869535;  Human, Homo sapiens  
;Acinetobacter_baumannii_883425;  Human, Homo sapiens  
;Acinetobacter_baumannii_88816;  Human, Homo sapiens  
;Acinetobacter_baumannii_907131;  Human, Homo sapiens  
;Acinetobacter_baumannii_916567;  Human, Homo sapiens  
;Acinetobacter_baumannii_923118;  Human, Homo sapiens  
;Acinetobacter_baumannii_929679-2095;  Human, Homo sapiens  
;Acinetobacter_baumannii_929679-598;  Human, Homo sapiens  
;Acinetobacter_baumannii_940793;  Human, Homo sapiens  
;Acinetobacter_baumannii_942133;  Human, Homo sapiens  
;Acinetobacter_baumannii_942194;  Human, Homo sapiens  
;Acinetobacter_baumannii_947299;  Human, Homo sapiens  
;Acinetobacter_baumannii_951631;  Human, Homo sapiens  
;Acinetobacter_baumannii_959073;  Human, Homo sapiens  
;Acinetobacter_baumannii_96512;  Human, Homo sapiens  
;Acinetobacter_baumannii_972082;  Human, Homo sapiens  
;Acinetobacter_baumannii_981176;  Human, Homo sapiens  
;Acinetobacter_baumannii_983759;  Human, Homo sapiens  
;Acinetobacter_baumannii_984213;  Human, Homo sapiens  
;Acinetobacter_baumannii_987421;  Human, Homo sapiens  
;Acinetobacter_baumannii_98826;  Human, Homo sapiens  
;Acinetobacter_baumannii_99063;  Human, Homo sapiens  
;Acinetobacter_baumannii_993520;  Human, Homo sapiens  
;Acinetobacter_baumannii_A068;  Human, Homo sapiens  
;Acinetobacter_baumannii_A069;  Human, Homo sapiens  
;Acinetobacter_baumannii_A070;  Human, Homo sapiens  
;Acinetobacter_baumannii_A071;  Human, Homo sapiens  
;Acinetobacter_baumannii_A072;  Human, Homo sapiens  
;Acinetobacter_baumannii_A074;  Human, Homo sapiens  
;Acinetobacter_baumannii_A076;  Human, Homo sapiens  
;Acinetobacter_baumannii_A077;  Human, Homo sapiens  
;Acinetobacter_baumannii_A078;  Human, Homo sapiens  
;Acinetobacter_baumannii_A079;  Human, Homo sapiens  
;Acinetobacter_baumannii_A080;  Human, Homo sapiens  
;Acinetobacter_baumannii_A082;  Human, Homo sapiens  
;Acinetobacter_baumannii_A084;  Human, Homo sapiens  
;Acinetobacter_baumannii_A085;  Human, Homo sapiens  
;Acinetobacter_baumannii_A086;  Human, Homo sapiens  
;Acinetobacter_baumannii_A087;  Human, Homo sapiens  
;Acinetobacter_baumannii_A089;  Human, Homo sapiens  
;Acinetobacter_baumannii_A091;  Human, Homo sapiens  
;Acinetobacter_baumannii_A092;  Human, Homo sapiens  
;Acinetobacter_baumannii_A093;  Human, Homo sapiens  
;Acinetobacter_baumannii_A094;  Human, Homo sapiens  
;Acinetobacter_baumannii_A095;  Human, Homo sapiens  
;Acinetobacter_baumannii_A096;  Human, Homo sapiens  
;Acinetobacter_baumannii_A097;  Human, Homo sapiens  
;Acinetobacter_baumannii_A099;  Human, Homo sapiens  
;Acinetobacter_baumannii_A1;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_A100;  Human, Homo sapiens  
;Acinetobacter_baumannii_A101;  Human, Homo sapiens  
;Acinetobacter_baumannii_A105;  Human, Homo sapiens  
;Acinetobacter_baumannii_A118;  Human, Homo sapiens  
;Acinetobacter_baumannii_A13;  Human, Homo sapiens  
;Acinetobacter_baumannii_A144;  Human, Homo sapiens  
;Acinetobacter_baumannii_A33405;Negative  Human, Homo sapiens Multiple 
;Acinetobacter_baumannii_A424;  Human, Homo sapiens  
;Acinetobacter_baumannii_AA-014;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB-HKU3-08;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_AB-HKU3-10;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_AB0057;Negative  Human, Homo sapiens Multiple 
;Acinetobacter_baumannii_AB0057;-  Human, Homo sapiens Multiple 
;Acinetobacter_baumannii_AB056;-  Human, Homo sapiens  
;Acinetobacter_baumannii_AB058;-  Human, Homo sapiens  
;Acinetobacter_baumannii_AB059;-  Human, Homo sapiens  
;Acinetobacter_baumannii_AB07;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB1H8;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_AB210;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB307-0294;-  Human, Homo sapiens Multiple 
;Acinetobacter_baumannii_AB405E4;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_AB4857;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB4A3;Negative  Human, Homo sapiens  
;Acinetobacter_baumannii_AB5075;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB5075;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB5075;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB5256;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB5711;  Human, Homo sapiens  
;Acinetobacter_baumannii_AB900;-  Human, Homo sapiens Multiple 
;Acinetobacter_baumannii_ABIsac_ColiR;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABIsac_ColiS;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH1;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH10;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH11;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH13;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH14;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH15;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH16;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH17;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH18;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH19;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH2;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH20;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH22;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH23;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH24;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH25;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH26;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH3;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH4;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH5;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH6;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABNIH7;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH106429;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH106440;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH106447;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH126102;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH126106;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH129404;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH129408;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH129409;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH129415;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH134167;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH134168;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH134192;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH16665;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH17182;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH17202;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH17465;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH1752;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH175677;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH175679;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH184295;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH184309;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH184310;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH189348;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH189349;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH189355;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH195560;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH195568;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH195573;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH222345;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH222351;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH225472;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH225492;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH225493;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH23684;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH23685;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH23687;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24314;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24333;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24343;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24354;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24355;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24356;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24357;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24366;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24368;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH24373;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH28081;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH28092;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH28093;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH28099;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH293373;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH293377;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH293412;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH304350;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH304352;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH315100;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH315101;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH31539;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH31558;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH319118;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH326445;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH326461;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH326495;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH34813;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH34825;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH34827;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH355545;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH355569;  Human, Homo sapiens  
;Acinetobacter_baumannii_ABUH367548;  Human, Homo sapiens  
